cost_function,furthest action 0.05,furthest action 0.1
annual_peak_average,1.1454775510017374,1.289771942577046
carbon_emissions_total,0.9087150491389366,0.936198104996358
cost_total,0.8282941808289702,0.8655389926579702
daily_one_minus_load_factor_average,0.3975918106680627,1.119091210981604
daily_peak_average,0.9722421484678192,1.05359860743193
electricity_consumption_total,0.916927671011973,0.9412026068630259
monthly_one_minus_load_factor_average,1.000034837983027,1.0041046454169231
ramping_average,1.3122793710780616,1.4440447398641139
zero_net_energy,1.1093344570298886,1.1124980669803748
