cost_function,0,1,2,3,4,mean,std,variance
annual_peak_average,1.1022699895357062,1.1022711080994891,1.1022706289912598,1.102270589685475,1.102270607933716,1.1022705848491292,3.970811714407156e-07,1.57673456712731e-13
carbon_emissions_total,0.8913107783909332,0.8917050565407624,0.8910270915103186,0.8931993587056942,0.8905771422909393,0.8915638854877296,0.0010025685794422395,1.0051437564848303e-06
cost_total,0.8070207223669158,0.8078713095008055,0.8066399008854932,0.8086860124632981,0.8066166163561465,0.8073669123145318,0.0008952344451243744,8.014447117371465e-07
daily_one_minus_load_factor_average,1.0147756455018722,0.39177984423583706,1.2133754850495453,1.176200937594029,0.3281152170908139,0.8248494258944195,0.4314992726136033,0.18619162226606878
daily_peak_average,0.9302358971940335,0.9288721384854985,0.9274119130026199,0.9336369444399293,0.923217245893356,0.9286748278030874,0.003823565899818948,1.4619656190258282e-05
electricity_consumption_total,0.9016841942893035,0.9013871901360655,0.9009851496104478,0.9027607737771531,0.9002613043376019,0.9014157224301144,0.0009219718599971895,8.500321106266771e-07
monthly_one_minus_load_factor_average,0.9868282126076333,0.9848773848288112,0.9883449456372437,0.9883589688687359,0.9873351857295382,0.9871489395343923,0.0014310936181145023,2.048028943808057e-06
ramping_average,1.1958762141645352,1.1952959366715787,1.1935388905812112,1.1987924060879191,1.1887402892247207,1.194448747345993,0.0037093495384121953,1.3759273998118766e-05
zero_net_energy,1.1093047574118995,1.1095341631681575,1.1091529533475748,1.1091104464274282,1.109145464774458,1.1092495570259033,0.00017576046548396245,3.0891741227139154e-08
