,ASRs
0.02,0.18997602466034935
0.03,0.2596186779312707
0.039999999999999994,0.3076835255166115
0.049999999999999996,0.34878410777486013
0.06,0.3848612855348784
0.06999999999999999,0.4194542756022377
0.07999999999999999,0.4475396734787076
0.09,0.47539673478707617
0.09999999999999999,0.49252197739467973
0.10999999999999999,0.5123872588195
0.11999999999999998,0.5306541842676105
0.12999999999999998,0.5491494462838223
0.13999999999999999,0.5676447083000342
0.14999999999999997,0.5872816531567531
0.15999999999999998,0.596529284164859
0.16999999999999996,0.6115994976595501
0.17999999999999997,0.6288389085512045
0.18999999999999997,0.648590021691974
0.19999999999999996,0.6589793355405869
