,ASRs
0.02,0.29090078776115996
0.03,0.39399474825893366
0.039999999999999994,0.4723141911177075
0.049999999999999996,0.5293983331430528
0.06,0.5771206758762416
0.06999999999999999,0.6183354264185409
0.07999999999999999,0.645621646306656
0.09,0.6675419568443887
0.09999999999999999,0.6910606233588309
0.10999999999999999,0.7089850439547893
0.11999999999999998,0.7274803059710012
0.12999999999999998,0.7424363511816418
0.13999999999999999,0.7507706359173422
0.14999999999999997,0.7640141568672223
0.15999999999999998,0.7742893024317844
0.16999999999999996,0.7884461696540701
0.17999999999999997,0.7906153670510332
0.18999999999999997,0.798835483502683
0.19999999999999996,0.8075122730905354
