,ASRs
0.02,0.053767123287671234
0.03,0.08184931506849315
0.039999999999999994,0.10308219178082192
0.049999999999999996,0.12488584474885844
0.06,0.1517123287671233
0.06999999999999999,0.17294520547945205
0.07999999999999999,0.19429223744292237
0.09,0.21244292237442922
0.09999999999999999,0.2408675799086758
0.10999999999999999,0.2536529680365297
0.11999999999999998,0.2737442922374429
0.12999999999999998,0.2863013698630137
0.13999999999999999,0.30468036529680365
0.14999999999999997,0.32054794520547947
0.15999999999999998,0.33550228310502284
0.16999999999999996,0.3487442922374429
0.17999999999999997,0.35924657534246573
0.18999999999999997,0.3817351598173516
0.19999999999999996,0.3863013698630137
