,ASRs
0.02,0.3204703733302888
0.03,0.4277885603379381
0.039999999999999994,0.520150702134947
0.049999999999999996,0.5848841191916886
0.06,0.6394565589679188
0.06999999999999999,0.6749628953076835
0.07999999999999999,0.7078433611142825
0.09,0.7328462153213837
0.09999999999999999,0.7492864482246832
0.10999999999999999,0.7643566617193743
0.11999999999999998,0.7798835483502683
0.12999999999999998,0.7878753282338167
0.13999999999999999,0.8014613540358488
0.14999999999999997,0.8105948167599041
0.15999999999999998,0.8184724283594017
0.16999999999999996,0.829090078776116
0.17999999999999997,0.8319442858773832
0.18999999999999997,0.8347984929786505
0.19999999999999996,0.8326292955816874
