,ASRs
0.02,0.2769722571069757
0.03,0.379837881036648
0.039999999999999994,0.4624957186893481
0.049999999999999996,0.5234615823724169
0.06,0.5748373101952278
0.06999999999999999,0.6201621189633519
0.07999999999999999,0.6590935038246375
0.09,0.6892339308140198
0.09999999999999999,0.713894280168969
0.10999999999999999,0.7401529855006279
0.11999999999999998,0.7591049206530426
0.12999999999999998,0.7782851923735586
0.13999999999999999,0.7940404155725539
0.14999999999999997,0.8121931727366137
0.15999999999999998,0.8217833085968718
0.16999999999999996,0.8330859687178902
0.17999999999999997,0.8399360657609316
0.18999999999999997,0.8487270236328348
0.19999999999999996,0.8618563762986642
