,ASRs
0.02,0.17479164288160748
0.03,0.24123758419910948
0.039999999999999994,0.292727480305971
0.049999999999999996,0.3395364767667542
0.06,0.37812535677588766
0.06999999999999999,0.41020664459413175
0.07999999999999999,0.4401187350154127
0.09,0.46603493549491953
0.09999999999999999,0.48669939490809455
0.10999999999999999,0.5067930129010161
0.11999999999999998,0.5309966891197625
0.12999999999999998,0.55040529740838
0.13999999999999999,0.5675305400159836
0.14999999999999997,0.5797465464094075
0.15999999999999998,0.5993834912661262
0.16999999999999996,0.617193743578034
0.17999999999999997,0.6305514328119648
0.18999999999999997,0.6429957757734901
0.19999999999999996,0.6549834455988126
