cost_function,baseline,SAC adversary BScaledSum mean diff 1-15-15,dynamic_untargeted_acg,Optimal myBB no init,untargeted_binary_myPGD_03_mask_time_scale_solar_and_consumption_eps,untargeted_binary_myPGD_03_mask_time_REscale_solar_and_consumption_eps_clipped_adv_obs
annual_peak_average,1.0428753036107437,1.0428753036107437,1.0099858011286205,1.727378353245115,0.9999999999999984,1.0099858011286205
carbon_emissions_total,0.8939728510771937,0.8910420792721873,0.906727596135317,3.082043898222309,0.9110163215720156,0.9042164679304894
cost_total,0.8039128718459264,0.7967507918474137,0.7995903530753404,2.8407347754411,0.817345399334811,0.8092964901010044
daily_one_minus_load_factor_average,1.0299968953766845,1.0331880021924134,1.0245410587705963,0.9634529632235196,1.02545589772556,1.022873860275543
daily_peak_average,0.91796042517278,0.9264511525001972,0.9549329733833524,2.94323228136692,0.9395303799536764,0.937284721028474
electricity_consumption_total,0.907584246758169,0.9082049543377426,0.9248826149397052,3.127383853874163,0.9246699709123656,0.9191624966654648
monthly_one_minus_load_factor_average,0.9848619719652004,0.9856782540004396,0.989034829643512,1.0039715023886986,0.982108255694266,0.9911799121818399
ramping_average,1.1178860472017884,1.1240898615010948,1.2138208943546056,16.387788132213952,1.187636431566315,1.1581947463738826
zero_net_energy,1.1022630606972124,1.1039647210798844,1.105067837207138,1.698402560108878,1.1019103859777737,1.103843965798247
