,ASRs
0.02,0.35848841191916886
0.03,0.47425505194656925
0.039999999999999994,0.5631921452220573
0.049999999999999996,0.6258705331658865
0.06,0.6658294325836283
0.06999999999999999,0.7038474711725082
0.07999999999999999,0.7281653156753054
0.09,0.7482589336682269
0.09999999999999999,0.7675533736727937
0.10999999999999999,0.784450279712296
0.11999999999999998,0.7932412375841991
0.12999999999999998,0.8036305514328119
0.13999999999999999,0.8083114510788902
0.14999999999999997,0.8104806484758534
0.15999999999999998,0.8199566160520607
0.16999999999999996,0.8226966548692773
0.17999999999999997,0.8292042470601667
0.18999999999999997,0.8325151272976368
0.19999999999999996,0.8333143052859916
