cost_function,cost_soc,energy_soc,solar,cost,default
annual_peak_average,0.9999999999999986,1.0,1.0,1.2354011377676397,0.9999999999999939
carbon_emissions_total,0.8933629165095945,0.8980420472989797,0.9129683002010038,1.0543371348393884,0.8802658624693166
cost_total,0.782883084961204,0.824628801527206,0.8437209791473046,0.9167165081530264,0.8100951519540438
daily_one_minus_load_factor_average,1.1751243106689013,1.0008041311984033,1.0200919783082847,0.9920939565667062,1.0494639648163566
daily_peak_average,0.930987046200792,0.9264057277992277,0.9463762202024243,1.2554003737938177,0.9010925768347446
electricity_consumption_total,0.9155527434458238,0.9160944335856938,0.9297026638547891,1.0619585615863514,0.8923038560008171
monthly_one_minus_load_factor_average,0.9807192628250921,0.9837962370417469,0.986593195703776,1.006374246513608,0.9852238879745708
ramping_average,1.0861241753589408,1.0685432712695337,1.0744270483346177,1.8660684827096703,1.1060254343387481
zero_net_energy,1.099456652896756,1.0867735128397442,1.0794506209684693,1.083838128907938,1.0949996835934301
