,ASRs
0.02,0.06244292237442922
0.03,0.0930365296803653
0.039999999999999994,0.12351598173515982
0.049999999999999996,0.1519406392694064
0.06,0.18538812785388128
0.06999999999999999,0.20319634703196346
0.07999999999999999,0.22442922374429225
0.09,0.24942922374429224
0.09999999999999999,0.26860730593607307
0.10999999999999999,0.2787671232876712
0.11999999999999998,0.3057077625570776
0.12999999999999998,0.3232876712328767
0.13999999999999999,0.3329908675799087
0.14999999999999997,0.35182648401826483
0.15999999999999998,0.37123287671232874
0.16999999999999996,0.37431506849315066
0.17999999999999997,0.39794520547945206
0.18999999999999997,0.4046803652968037
0.19999999999999996,0.42077625570776256
