,MAEs
0.02,0.04336473750906838
0.03,0.06346026565426628
0.039999999999999994,0.08321492746599951
0.049999999999999996,0.10430104482397122
0.06,0.12435283750135723
0.06999999999999999,0.14488327494783207
0.07999999999999999,0.16667828908272428
0.09,0.18782943322742512
0.09999999999999999,0.20842025768918143
0.10999999999999999,0.23023974139701422
0.11999999999999998,0.2544307707277168
0.12999999999999998,0.27625464202708777
0.13999999999999999,0.2981850048381453
0.14999999999999997,0.3154434292839942
0.15999999999999998,0.3335333667556871
0.16999999999999996,0.3461769254294851
0.17999999999999997,0.36071079095819386
0.18999999999999997,0.37097105628085986
0.19999999999999996,0.38115427422835163
