,MAEs
0.02,0.04534847837548398
0.03,0.06773820070319965
0.039999999999999994,0.08850850168803141
0.049999999999999996,0.10780556067672953
0.06,0.12704726447320336
0.06999999999999999,0.14594184929056928
0.07999999999999999,0.1635075048886419
0.09,0.18232714059432084
0.09999999999999999,0.20163446731839038
0.10999999999999999,0.22093515971341435
0.11999999999999998,0.23880122292870623
0.12999999999999998,0.25701897922328704
0.13999999999999999,0.2741419063377685
0.14999999999999997,0.2895434977107566
0.15999999999999998,0.3048166364809057
0.16999999999999996,0.3196210664951008
0.17999999999999997,0.33210452756512615
0.18999999999999997,0.34628245902396265
0.19999999999999996,0.35668057169608297
