cost_function,baseline
annual_peak_average,1.0
carbon_emissions_total,1.0000116740737535
cost_total,1.0000105309570348
daily_one_minus_load_factor_average,0.9999677713675315
daily_peak_average,0.9999986063226273
electricity_consumption_total,1.0000060354608085
monthly_one_minus_load_factor_average,0.9999881238511279
ramping_average,1.000639509101192
zero_net_energy,1.0000917052484073
