cost_function,trained_policy,induced_policy
annual_peak_average,1.0099858011286205,1.1022706438950487
carbon_emissions_total,0.9136745034820013,0.873112659910436
cost_total,0.8208609209071087,0.7865544258232795
daily_one_minus_load_factor_average,1.1589881925277545,0.9797336272429307
daily_peak_average,0.9449091032217404,0.909613686522798
electricity_consumption_total,0.9291191701471596,0.8846511784681637
monthly_one_minus_load_factor_average,0.9864533300168342,0.9879076602712025
ramping_average,1.1278816773427505,1.125543032359649
zero_net_energy,1.1012000157036599,1.107856591669335
