,cost_function,baseline,dynamic_untargeted_acg
0,annual_peak_average,1.0,1.1037713077313616
1,carbon_emissions_total,0.9031368118646456,0.9439547102056117
2,cost_total,0.8585393288490015,0.890565035771383
3,daily_one_minus_load_factor_average,1.051262504211904,1.1253543023340327
4,daily_peak_average,0.9383058372601754,1.0172472317218895
5,electricity_consumption_total,0.9045618632514582,0.9487067769017372
6,monthly_one_minus_load_factor_average,0.9879393691746646,0.9923185270250128
7,ramping_average,1.2208290518249605,1.4481226269442915
8,zero_net_energy,1.0909964256446056,1.0983289143520745
