Week,MMD,P_value
0,0.012293976873586354,0.334199994802475
1,0.008838126845828187,0.4041000008583069
2,0.008522414582715632,0.2757999897003174
3,0.021479359422368338,0.00019999999494757503
4,0.018716131544514347,9.999999747378752e-05
5,0.016550788358274948,0.000699999975040555
6,0.0174038537286616,0.00029999998514540493
7,0.019873017184453445,0.0
8,0.027763292048779364,0.0
9,0.035006455512786694,0.0
10,0.04246712688144294,0.0
11,0.07546627908348502,0.0
12,0.06086099133294254,0.0
13,0.04261891217056046,0.0
14,0.07427329702116303,0.0
15,0.07604326684055418,0.0
16,0.07859347982393694,0.0
17,0.07947266090862559,0.0
18,0.07317398640208861,0.0
19,0.06619833867757396,0.0
20,0.07155604302351226,0.0
21,0.1123015579659139,0.0
22,0.07676445839591595,0.0
23,0.0662488243338486,0.0
24,0.06387664282024752,0.0
25,0.07669979556977102,0.0
26,0.09593757775788303,0.0
27,0.08292529282935535,0.0
28,0.07172524736094332,0.0
29,0.08079620674937926,0.0
30,0.08438269491400652,0.0
31,0.08044733432599838,0.0
32,0.07465637376704914,0.0
33,0.09243083581796618,0.0
34,0.07936680519316974,0.0
35,0.0725181641767163,0.0
36,0.06684152140636757,0.0
37,0.06587331469145141,0.0
38,0.06746664630570165,0.0
39,0.0699995358004819,0.0
40,0.06173454674926515,0.0
41,0.06875204194020834,0.0
42,0.06874463863884595,0.0
43,0.0598352899101926,0.0
44,0.07824535914197872,0.0
45,0.062164151273105483,0.0
46,0.06275654373653716,0.0
47,0.06120026022389036,0.0
48,0.06392563314693334,0.0
49,0.07273932841650632,0.0
50,0.060243235415941454,0.0
