day,MMD,P_value
0,0.10256500083448716,0.16279999911785126
1,0.10587195520168224,0.13539999723434448
2,0.1180501737137829,0.06659999489784241
3,0.10113461984693406,0.1850999891757965
4,0.10679606314842749,0.14489999413490295
5,0.10472682716071913,0.17299999296665192
6,0.1345447131158768,0.03689999878406525
7,0.07986303876841339,0.5388999581336975
8,0.07984338839968896,0.5317000150680542
9,0.08249482124697494,0.4777999818325043
10,0.08544720570052267,0.41029998660087585
11,0.09716576148332057,0.23189999163150787
12,0.10045557607969102,0.19020000100135803
13,0.14461983702449377,0.020399998873472214
14,0.0831436443265492,0.45979997515678406
15,0.08005763706484825,0.5342999696731567
16,0.07975143170533183,0.5471999645233154
17,0.1057016024991475,0.14800000190734863
18,0.15391376194764894,0.008899999782443047
19,0.11515920264360502,0.09529999643564224
20,0.16398218734233105,0.00559999980032444
21,0.08447191593291947,0.43369999527931213
22,0.08409317380164882,0.4430999755859375
23,0.08951424185974743,0.3425999879837036
24,0.10365163219797946,0.1664000004529953
25,0.12063103433586142,0.06499999761581421
26,0.11708946954377364,0.07559999823570251
27,0.1592865526941294,0.005399999674409628
28,0.08824172030659083,0.3684999942779541
29,0.08419840878755736,0.43549999594688416
30,0.09711062325002717,0.2352999895811081
31,0.09539644258643354,0.2556999921798706
32,0.12923355906231482,0.03610000014305115
33,0.11825822098689875,0.07689999788999557
34,0.14691188676399847,0.013199999928474426
35,0.08751379817145133,0.38449999690055847
36,0.07940906940329517,0.5367000102996826
37,0.0844269870917791,0.4277999997138977
38,0.09718124866875932,0.23169998824596405
39,0.10461883363566127,0.15609999001026154
40,0.09877730031386278,0.21739999949932098
41,0.14820765004013592,0.011299999430775642
42,0.10515834908040911,0.13930000364780426
43,0.10848929285011288,0.11409999430179596
44,0.09226282261055685,0.2953999936580658
45,0.09976015748947176,0.20889998972415924
46,0.09356156181111541,0.2759000062942505
47,0.09351376084348839,0.2751999795436859
48,0.14780501156643155,0.017500000074505806
