cost_function,baseline,uACG_binary_SAC_05_eps,uACG_binary_SAC_03_eps,uACG_binary_SAC_01_eps,uACG_binary_SAC_03_eps_linear_half_m,uACG_binary_SAC_03_eps_2_-1_-2_1,untargeted_myPGD,untargeted_binary_myPGD_5%,untargeted_myPGD_5%_huber,untargeted_myPGD_5%_mae,ATLA_ADV_2-19-10,untargeted_myPGD_05_mse,toggle_binary_myPGD_5%,untargeted_binary_myPGD_5%_mask_time,untargeted_binary_myPGD_03_mask_time,toggle_binary_myPGD_03_mask_time,untargeted_binary_myPGD_03_mask_time_scale_solar_and_consumption_eps,untargeted_binary_myPGD_03_mask_solar_and_time_scale_consumption_eps_clipped_adv_obs,bifurcated_uACG_DLloss_03_mask_time_solar_and_consumption,untargeted_myPGD_03_mask_solar_and_time_scale_consumption_eps_clipped_adv_obs,toggle_binary_myPGD_03_mask_time_and_solar_scale_consumption_eps_clipped,untargeted_binary_myPGD_03_mask_time_REscale_solar_and_consumption_eps_clipped_adv_obs
annual_peak_average,1.0,1.342464397890806,0.9484869691959248,1.0,1.0,1.1686317830740085,1.2043317570148402,1.5238145279320758,1.2043317570148402,1.2043317570148402,1.253413048229212,1.2043317570148402,1.666221316617279,1.4823396588139646,1.274423104450726,1.6499080669819537,1.4782232900284942,1.0442288889311404,1.1483664999061531,1.0,1.0158847055033642,1.0462893319884494
carbon_emissions_total,0.8650465570219484,1.2422189376272934,1.0952066764121973,0.880241895606819,0.9504692393608748,0.9669001180320032,1.0215176617870327,1.353868430911196,1.0215176617870327,1.0215176617870327,1.0758820779346836,1.0215176617870327,1.832447925734536,1.345560404004497,1.2535284450237965,1.287892349835989,1.0869737606340395,0.9588918330236595,1.0402411634412403,0.930462970258772,0.9331237892452908,0.9585115952406499
cost_total,0.798446427857767,1.2688456969869648,1.029060111972314,0.8122072597569625,0.8707241574483892,0.8686384486334183,0.9995554833301848,1.433562180366521,0.9995554833301848,0.9995554833301848,1.0129917497564185,0.9995554833301848,1.7495431905339718,1.411911390646119,1.2555247408812815,1.2260568777716057,1.0554311824101394,0.9223384048593912,0.9825131711312136,0.8831124778938606,0.8724671137077904,0.9218947847113098
daily_one_minus_load_factor_average,1.029992139702572,0.964123616923937,0.9571752192542092,1.0183094484592177,1.085791912183216,0.9998085623888546,1.0021217289937578,0.9660359425595916,1.0021217289937578,1.0021217289937578,0.9691752266854072,1.0021217289937578,0.9689472979992764,0.9625982454646984,0.96331462475945,0.9681355840253084,0.973311847540305,0.987948184322596,0.963204197400668,1.1172472258540345,0.9969770530904216,0.9891549984520592
daily_peak_average,0.8986220662900906,1.4904647306374137,1.224973982576223,0.907752296153011,0.987713257470762,1.1392550621146496,1.1104995650104887,1.92661898057152,1.1104995650104887,1.1104995650104887,1.5341506846755584,1.1104995650104887,2.3434549874124606,1.8480681783401,1.6575988046443315,1.808063773261712,1.473465425633666,1.0272895972575964,1.1412573612708157,0.982575473082244,0.9867202398281074,1.0301626922458353
electricity_consumption_total,0.8809147062913397,1.2392231908667408,1.1102601822829736,0.8955941737360115,0.9656771925966766,0.9875722225775048,1.0172304289842349,1.3254864200093162,1.0172304289842349,1.0172304289842349,1.107457761781719,1.0172304289842349,1.871666951832331,1.324177394464204,1.2655433628509902,1.314429532102154,1.1023555335779192,0.9660148485943398,1.051773628398437,0.9395359067004736,0.9467972336121772,0.9658376114204195
monthly_one_minus_load_factor_average,0.9858155544366684,1.0099671953896163,0.9870991716495278,0.982567098515602,0.9833972340744276,0.9917263595053218,1.018583387434964,1.0148103474415715,1.018583387434964,1.018583387434964,1.0118527007366849,1.018583387434964,1.0137565836182063,1.016902817771357,1.014061502240038,1.01367269577932,1.0197188883550952,0.9971754431947794,0.9977262629283524,1.0015869693916928,0.9959484615042626,0.9966602039427042
ramping_average,1.088548505415332,1.9953448393077768,2.030505692658088,1.1866255331298132,1.519873998890624,1.517907577372874,1.120611921233147,2.0573862822300666,1.120611921233147,1.120611921233147,2.099763793700131,1.120611921233147,8.676610338141026,2.094690605944898,2.2095110230079507,4.526856598850835,1.9463259207857868,1.3604778192815523,1.8527698036501328,1.131096381377568,1.686583542636023,1.361770746681852
zero_net_energy,1.0836453695549189,1.1049343191235588,1.1284035442296638,1.0891211946636468,1.0962156214447305,1.0986895399257282,1.0122452621528777,1.1006996584834698,1.0122452621528777,1.0122452621528777,1.1129561388777611,1.0122452621528777,1.384153466700009,1.1078148840572182,1.1295094026531696,1.2108465892353906,1.1158888404730187,1.0844196527814678,1.1133525722527275,1.0572134725731837,1.0977085030438969,1.084689011023084
