month,MMD,P_value
0,0.017460727521295016,0.0
1,0.025615285945338684,0.0
2,0.02088778622631038,0.0
3,0.026433634213244517,0.0
4,0.018478525417648495,0.0
5,0.02278015440016601,0.0
6,0.02267215660804478,0.0
7,0.016576550938092183,0.0
8,0.014601059604765876,0.0
9,0.02039766168297774,0.0
10,0.01605588948736436,0.0
