,MMD,p_value
MMD_baseline_random_daily_samples_54,0.0004534721374511,0.4272999763488769
MMD_baseline_random_daily_samples_55,0.0004063844680786,0.7092999815940857
MMD_baseline_random_daily_samples_56,0.000393271446228,0.8053999543190002
MMD_baseline_random_daily_samples_57,0.0004831552505493,0.2915000021457672
MMD_baseline_random_daily_samples_58,0.0003533363342285,0.9812999963760376
MMD_baseline_random_daily_samples_59,0.0003224611282348,1.0
MMD_baseline_random_daily_samples_60,0.0003589391708374,0.97079998254776
MMD_baseline_random_daily_samples_61,0.0005863904953002,0.0644999966025352
MMD_baseline_random_daily_samples_62,0.000476598739624,0.319599986076355
MMD_baseline_random_daily_samples_63,0.000392198562622,0.8121999502182007
MMD_baseline_random_daily_samples_64,0.0004723072052001,0.3325999975204468
MMD_baseline_random_daily_samples_65,0.0004111528396606,0.6851999759674072
MMD_baseline_random_daily_samples_66,0.0004119873046875,0.6769999861717224
MMD_baseline_random_daily_samples_67,0.000380516052246,0.8781999945640564
MMD_baseline_random_daily_samples_68,0.0003538131713867,0.9770999550819396
MMD_baseline_random_daily_samples_69,0.0004007816314697,0.7566999793052673
MMD_baseline_random_daily_samples_70,0.0003933906555175,0.8075000047683716
MMD_baseline_random_daily_samples_71,0.0003389120101928,0.9966999888420104
MMD_baseline_random_daily_samples_72,0.0003526210784912,0.9818999767303468
MMD_baseline_random_daily_samples_73,0.0005029439926147,0.2151999920606613
MMD_baseline_random_daily_samples_74,0.0004619359970092,0.3753999769687652
MMD_baseline_random_daily_samples_75,0.0003402233123779,0.9953999519348145
MMD_baseline_random_daily_samples_76,0.0004589557647705,0.3917999863624573
MMD_baseline_random_daily_samples_77,0.0004345178604125,0.5297999978065491
MMD_baseline_random_daily_samples_78,0.0003271102905273,0.9998999834060668
MMD_baseline_random_daily_samples_79,0.0003798007965087,0.883899986743927
uACG_binary_SAC_03_eps,0.0003299713134765625,0.0210999995470047
